id,age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status,offspring_1,height2
1,22,a little extra,strictly anything,socially,never,working on college/university,"asian, white",75,0,transportation,28JUN12:20:30:00,"south san francisco, california","does not have kids, but might want them",straight,likes dogs and likes cats,agnosticism and very serious about it,m,gemini,sometimes,english,single,NO,190.5
2,35,average,mostly other,often,sometimes,working on space camp,white,70,80000,hospitality / travel,29JUN12:21:41:00,"oakland, california","does not have kids, but might want them",straight,likes dogs and likes cats,agnosticism but not too serious about it,m,cancer,no,"english (fluently), spanish (poorly), french (poorly)",single,NO,177.8
3,31,average,mostly anything,socially,never,graduated from college/university,white,65,0,artistic / musical / writer,29JUN12:12:30:00,"san francisco, california","does not have kids, but wants them",straight,likes dogs and likes cats,christianity,f,sagittarius,no,"english, spanish (okay)",single,NO,165.1
4,29,thin,mostly anything,socially,never,working on college/university,"hispanic / latin, white",62,50000,other,29JUN12:08:55:00,"san leandro, california","does not have kids, but wants them",straight,likes dogs and has cats,catholicism,f,taurus,no,english,single,NO,157.48
5,33,athletic,mostly anything,socially,never,graduated from masters program,white,72,0,science / tech / engineering,27JUN12:21:41:00,"san francisco, california",does not have kids,straight,likes dogs and likes cats,catholicism but not too serious about it,m,pisces,no,english (fluently),single,NO,182.88
6,30,fit,mostly anything,socially,never,graduated from college/university,white,69,0,executive / management,28JUN12:15:22:00,"san francisco, california","does not have kids, but might want them",straight,likes dogs and likes cats,agnosticism and somewhat serious about it,m,sagittarius,no,"english, spanish (poorly)",single,NO,175.26
7,32,athletic,mostly anything,socially,never,graduated from college/university,white,69,0,science / tech / engineering,28JUN12:09:28:00,"san francisco, california","does not have kids, but wants them",straight,likes dogs and dislikes c,buddhism but not too serious about it,m,cancer,when drinking,"english (fluently), spanish (fluently)",single,NO,175.26
8,29,curvy,anything,socially,sometimes,graduated from masters program,white,66,0,other,10JUN12:13:28:00,"san francisco, california",does not have kids,bisexual,has cats,other,f,aquarius,no,"english, spanish (poorly), portuguese (poorly)",single,NO,167.64
9,26,athletic,mostly anything,socially,never,graduated from college/university,white,66,0,science / tech / engineering,28JUN12:07:59:00,"belmont, california",does not have kids,straight,likes dogs and likes cats,other but not too serious about it,f,taurus,no,"english (fluently), spanish (okay)",single,NO,167.64
10,35,athletic,mostly anything,socially,sometimes,graduated from space camp,"native american, white",73,150000,artistic / musical / writer,29JUN12:00:25:00,"emeryville, california","does not have kids, but might want them",straight,likes dogs and likes cats,agnosticism and very serious about it,m,pisces,no,"english (poorly), spanish (poorly)",single,NO,185.42
11,29,fit,mostly anything,socially,sometimes,graduated from college/university,white,67,40000,artistic / musical / writer,28MAY12:15:18:00,"san francisco, california",does not want kids,straight,likes dogs and likes cats,agnosticism and very serious about it,m,libra,no,english (fluently),single,NO,170.18
12,31,curvy,anything,socially,sometimes,graduated from masters program,white,66,0,executive / management,29JUN12:06:59:00,"san francisco, california","does not have kids, but might want them",straight,likes dogs,atheism,f,pisces,no,english (fluently),single,NO,167.64
13,42,fit,mostly anything,socially,never,graduated from masters program,white,65,0,education / academia,29JUN12:22:35:00,"mountain view, california",has kids,straight,likes dogs,judaism,f,aries,no,"english (fluently), french (poorly), hebrew (okay), yiddish (poorly)",single,YES,165.1
14,45,fit,mostly anything,socially,never,graduated from masters program,asian,64,0,executive / management,24JUN12:20:20:00,"menlo park, california",does not have kids,straight,likes dogs,agnosticism and laughing about it,f,aries,no,english (fluently),single,NO,162.56
15,23,curvy,mostly anything,rarely,never,working on college/university,"black, native american, h",66,20000,other,28JUN12:18:40:00,"san francisco, california",has a kid,straight,likes dogs and likes cats,other,f,capricorn,when drinking,english (fluently),single,YES,167.64
16,50,fit,mostly anything,socially,never,graduated from two-year college,white,75,0,unemployed,09JUN12:23:55:00,"vallejo, california",has kids,straight,dislikes dogs and has cat,christianity and somewhat serious about i,m,gemini,no,"english (fluently), tagalog (poorly)",single,YES,190.5
17,21,thin,strictly anything,socially,often,working on space camp,"hispanic / latin, white",70,1000000,medicine / health,29JUN12:17:01:00,"san francisco, california","does not have kids, and does not want them",straight,likes dogs,atheism and laughing about it,m,sagittarius,sometimes,english,single,NO,177.8
18,50,average,mostly anything,often,never,college/university,white,73,80000,transportation,29JUN12:21:54:00,"benicia, california",does not want kids,straight,has cats,other,m,libra,no,english,single,NO,185.42
19,59,fit,anything,socially,never,graduated from masters program,white,73,80000,other,15AUG11:09:32:00,"daly city, california",does not want kids,straight,likes dogs and likes cats,other,m,libra,no,"english (fluently), english",single,NO,185.42
20,26,curvy,mostly anything,socially,never,working on college/university,"hispanic / latin, white",63,20000,sales / marketing / biz dev,23JUN12:23:10:00,"berkeley, california","does not have kids, but might want them",gay,likes dogs and likes cats,catholicism and laughing about it,f,gemini,no,english,single,NO,160.02
21,26,fit,mostly anything,socially,never,graduated from college/university,white,68,70000,science / tech / engineering,18JUN12:21:51:00,"san francisco, california","does not have kids, but wants them",straight,likes dogs,agnosticism and laughing about it,f,sagittarius,no,english,single,NO,172.72
22,27,athletic,mostly anything,socially,never,graduated from college/university,white,68,0,computer / hardware / software,27MAY12:14:46:00,"walnut creek, california","does not have kids, but wants them",straight,likes dogs and has cats,judaism but not too serious about it,m,virgo,no,"english, russian",single,NO,172.72
23,29,a little extra,mostly halal,often,never,dropped out of high school,white,72,250000,artistic / musical / writer,23AUG11:23:38:00,"san francisco, california",does not want kids,straight,has dogs and dislikes cat,hinduism and very serious about it,m,cancer,when drinking,"english (fluently), croatian (fluently), bengali (okay)",single,NO,182.88
24,21,fit,mostly anything,socially,never,working on college/university,hispanic / latin,66,20000,sales / marketing / biz dev,26JUN12:22:47:00,"mill valley, california",does not have kids,straight,likes dogs and likes cats,catholicism but not too serious about it,f,aries,no,"english (fluently), spanish (fluently), french (poorly), portuguese (p",single,NO,167.64
25,27,curvy,anything,often,never,graduated from college/university,white,68,0,sales / marketing / biz dev,29JUN12:21:59:00,"san francisco, california","does not have kids, and does not want them",straight,likes dogs and has cats,agnosticism and laughing about it,f,leo,no,"english (fluently), spanish (okay)",single,NO,172.72
26,37,fit,mostly anything,not at all,never,graduated from college/university,white,79,50000,entertainment / media,29JUN12:21:31:00,"san francisco, california","does not have kids, but might want them",straight,likes dogs and likes cats,agnosticism and somewhat serious about it,m,virgo,no,english (fluently),single,NO,200.66
27,32,a little extra,mostly anything,socially,never,graduated from masters program,white,63,0,education / academia,25JUN12:22:50:00,"san francisco, california","does not have kids, but wants them",straight,likes dogs and dislikes c,catholicism and somewhat serious about it,f,capricorn,sometimes,english (fluently),single,NO,160.02
28,28,athletic,mostly anything,socially,sometimes,graduated from masters program,hispanic / latin,67,0,banking / financial / real estate,25JUN12:22:11:00,"san francisco, california",does not have kids,straight,likes dogs and likes cats,other,m,aquarius,trying to quit,"english, italian, french, spanish, russian",single,NO,170.18
29,28,fit,mostly anything,socially,never,graduated from college/university,asian,67,0,computer / hardware / software,29JUN12:11:09:00,"san francisco, california","does not have kids, but might want them",straight,likes dogs,other but not too serious about it,m,gemini,no,"english (fluently), vietnamese (fluently), c++ (fluently)",single,NO,170.18
30,31,fit,strictly anything,socially,never,working on ph.d program,white,63,0,student,29JUN12:13:11:00,"oakland, california","does not have kids, but wants them",straight,likes dogs and has cats,agnosticism and very serious about it,f,gemini,when drinking,"english (fluently), french (okay)",single,NO,160.02
31,33,average,mostly anything,rarely,never,graduated from college/university,white,72,0,science / tech / engineering,29JUN12:16:23:00,"san francisco, california",does not have kids,straight,likes dogs and likes cats,atheism,m,leo,no,"english (fluently), c++ (fluently), russian (poorly)",single,NO,182.88
32,43,thin,strictly anything,socially,never,graduated from masters program,indian,65,0,banking / financial / real estate,29JUN12:20:02:00,"san francisco, california",has kids,straight,likes dogs and has cats,hinduism but not too serious about it,f,virgo,no,english (fluently),single,YES,165.1
33,42,athletic,anything,socially,never,working on space camp,white,63,0,medicine / health,29JUN12:17:04:00,"lafayette, california",has kids,straight,has dogs and has cats,christianity and somewhat serious about i,f,aries,no,english (fluently),single,YES,160.02
34,50,thin,mostly anything,socially,never,two-year college,hispanic / latin,66,0,sales / marketing / biz dev,29JUN12:20:35:00,"fremont, california",has kids,straight,likes dogs,christianity,f,leo,no,"english (fluently), spanish (fluently)",single,YES,167.64
35,35,average,mostly other,rarely,never,graduated from college/university,asian,67,30000,entertainment / media,28JUN12:17:17:00,"san francisco, california","does not have kids, but might want them",straight,likes dogs,christianity but not too serious about it,m,scorpio,no,english,single,NO,170.18
36,30,average,mostly anything,socially,never,graduated from two-year college,asian,69,60000,medicine / health,29JUN12:22:49:00,"san mateo, california","does not have kids, but might want them",straight,likes dogs and likes cats,christianity and somewhat serious about i,m,aries,no,english,single,NO,175.26
37,34,average,mostly anything,socially,never,graduated from college/university,asian,62,60000,other,29JUN12:18:22:00,"el cerrito, california","does not have kids, but wants them",straight,likes dogs and has cats,agnosticism but not too serious about it,f,gemini,when drinking,english (fluently),single,NO,157.48
38,41,athletic,mostly anything,rarely,never,graduated from college/university,"asian, pacific islander",67,0,other,08APR12:15:39:00,"burlingame, california",does not have kids,straight,has dogs and likes cats,atheism and laughing about it,m,pisces,trying to quit,english (fluently),single,NO,170.18
39,53,average,other,rarely,never,two-year college,white,69,0,clerical / administrative,29JUN12:20:20:00,"san mateo, california",does not have kids,straight,likes dogs and has cats,christianity and very serious about it,f,libra,no,english,single,NO,175.26
40,39,fit,mostly vegetarian,rarely,never,graduated from masters program,white,69,80000,science / tech / engineering,29JUN12:08:54:00,"berkeley, california","does not have kids, but might want them",straight,likes dogs and likes cats,other and somewhat serious about it,m,cancer,no,"english (okay), c++ (poorly)",single,NO,175.26
41,42,fit,strictly anything,rarely,sometimes,graduated from college/university,white,64,80000,other,28JUN12:22:03:00,"san rafael, california",does not want kids,straight,has cats,buddhism but not too serious about it,f,aquarius,no,"english, english",single,NO,162.56
42,45,average,mostly other,socially,never,graduated from college/university,white,60,0,sales / marketing / biz dev,27JUN12:21:28:00,"menlo park, california","has kids, and might want more",straight,likes dogs and likes cats,other,f,libra,no,english (fluently),single,YES,152.4
43,47,average,mostly anything,rarely,never,graduated from two-year college,white,69,50000,construction / craftsmanship,28JUN12:16:38:00,"san francisco, california","does not have kids, but might want them",straight,has dogs and likes cats,christianity but not too serious about it,m,aries,no,"english (fluently), spanish (okay)",single,NO,175.26
44,48,average,mostly vegetarian,socially,never,graduated from college/university,hispanic / latin,62,0,other,29JUN12:16:49:00,"san francisco, california",does not want kids,straight,has dogs,agnosticism,f,taurus,no,"english (fluently), portuguese (fluently), spanish (okay), french (oka",available,NO,157.48
45,47,fit,mostly anything,not at all,never,dropped out of college/university,white,72,0,construction / craftsmanship,29JUN12:15:41:00,"oakland, california",does not want kids,straight,has dogs,agnosticism but not too serious about it,m,pisces,no,english (fluently),single,NO,182.88
46,32,athletic,mostly anything,socially,never,graduated from college/university,hispanic / latin,71,0,sales / marketing / biz dev,25MAR12:00:09:00,"san francisco, california","does not have kids, but might want them",straight,likes dogs,catholicism but not too serious about it,m,leo,no,"english (fluently), spanish (fluently), italian (poorly)",single,NO,180.34
47,55,average,mostly anything,socially,never,graduated from college/university,white,73,0,computer / hardware / software,29JUN12:22:19:00,"redwood city, california",does not have kids,straight,has dogs and likes cats,christianity but not too serious about it,m,scorpio,no,english,single,NO,185.42
48,19,average,mostly vegetarian,socially,sometimes,working on college/university,white,67,0,student,27MAY12:11:37:00,"san francisco, california",does not have kids,straight,has dogs and has cats,atheism and very serious about it,f,gemini,sometimes,"english (fluently), spanish (poorly)",single,NO,170.18
